Name,Event Image,Event Website Link,Event Venue Name,Event Venue Address,Dates,Date Details,Event Date,Times,Time Summary,Neighborhood,Event Categories,Event Type,Event Description,State,City,Batch
2024 Summer Camps: Animation Nation,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-animation-nation/?instance_id=318,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 10-14, 2024","['June 10, 2024' ,'June 11, 2024' ,'June 12, 2024' ,'June 13, 2024', 'June 14, 2024']",6/14/2024 12:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"In this class students discover cartooning & animation basics taking their imagination to a whole new level.  Create fun cartoons, animations and stories and learn to publish them as well!  Learn what goes on in the world of Disney and Cartoon Network.  It is fun filled class and interactive class introducing concepts on Animation.",Georgia,Roswell,5092024
2024 Summer Camps: Python Game Design,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-python-game-design/?instance_id=320,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 10-14, 2024","['June 10, 2024' ,'June 11, 2024' ,'June 12, 2024' ,'June 13, 2024', 'June 14, 2024']",6/14/2024 12:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"Python is a widely used, powerful programming language that is used by professionals and hobbyists alike.  With Python you can create a multiplayer live coding strategy game where you can defeat trolls, ogres and other enemies. With Python, you can create games that are both enjoyable and educational, making it a great choice!",Georgia,Roswell,5092024
Museum After-Hours: Sci-Fi Summer Night,https://www.computermuseumofamerica.org/wp-content/uploads/2024/04/Museum-AfterHours-6.14-1080-x-1080-px-300x300.png,https://www.computermuseumofamerica.org/event/museum-after-hours-sci-fi-summer-night/?instance_id=364,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",14-Jun-24,"['June 14, 2024']",6/14/2024 17:30,['5:30PM-9:00PM'],5:30PM-9:00PM,Roswell,Family,In Person,"Embark on an out-of-this-world evening at the first Museum After-Hours event of the year on Friday, June 14th, from 5:30 to 9:00 PM at Computer Museum of America (CMoA). Celebrate the fun and imagination of all things science fiction by dressing as your favorite Sci-Fi character and exploring artifacts that once seemed like fiction through a scavenger hunt.",Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 6/15/24 - T-Bone the Drone,https://www.computermuseumofamerica.org/wp-content/uploads/2024/04/T-Bone_the_Drone-removebg-preview-236x300.png,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-6-15-24-t-bone-the-drone/?instance_id=368,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",15-Jun-24,"['June 15, 2024']",6/15/2024 11:00,['11:00PM-12:00PM'],11:00PM-12:00PM,Roswell,Family,In Person,"This week's exciting read is T-Bone the Drone by Shanda McCloskey. Come and join us for story time as we read about the adventures of a young boy named Lucas and his drone, T-Bone.",Georgia,Roswell,5092024
2024 Summer Camps: JavaScript Game Design,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-javascript-game-design/?instance_id=323,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 17-21, 2024","['June 17, 2024', 'June 18, 2024', 'June 19, 2024', 'June 20, 2024', 'June 21, 2024']",6/21/2024 9:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"JavaScript is the programming language of the web. It controls everything that happens on a website, like pop-ups, animations, warnings, and autocomplete search boxes.",Georgia,Roswell,5092024
2024 Summer Camps: Sumo Robot Battles,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-sumo-robot-battles/?instance_id=321,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 17-21, 2024","['June 17, 2024', 'June 18, 2024', 'June 19, 2024', 'June 20, 2024', 'June 21, 2024']",6/21/2024 9:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Sumo Battles - Robot Battle Arena is the perfect way to get your students excited about robotics and engineering!  With no prior experience needed, students of all levels can join in on the fun and excitement of robot combat.",Georgia,Roswell,5092024
2024 Summer Camps: Junior Adventures with AI,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-junior-adventures-with-ai/?instance_id=322,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 17-21, 2024","['June 17, 2024', 'June 18, 2024', 'June 19, 2024', 'June 20, 2024', 'June 21, 2024']",6/21/2024 9:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"Artificial Intelligence (A.I.) is the ability for computers to do things that are considered characteristic of intelligence: language processing, pictorial interpretations, pattern detection and more!  Recently, with the advancement of computing power and ability to process high volumes of data, computers have been able to generate more accurate models that predict responses.",Georgia,Roswell,5092024
"2024 Summer Camps: Robots & Sensors - Code, Build, Compete!",https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-robots-sensors-code-build-compete/?instance_id=324,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 17-21, 2024","['June 17, 2024', 'June 18, 2024', 'June 19, 2024', 'June 20, 2024', 'June 21, 2024']",6/21/2024 9:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"Students will be able to build and program robots to engage in various projects to learn about motors, sensors, and programming with the Mission to Space robotics challenge.  Students will learn principals of building and programming to be successful in their missions.",Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 6/22/24 - There is No Place Like Space,https://www.computermuseumofamerica.org/wp-content/uploads/2024/04/There_s_No_Place_Like_Space-removebg-preview-216x300.png,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-6-22-24-there-is-no-place-like-space/?instance_id=369,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",22-Jun-24,"['June 22, 2024']",6/22/2024 11:00,['11:00AM-12:00PM'],11:00AM-12:00PM,Roswell,Family,In Person,"In this Dr. Suess inspired book, the Cat in the Hat leads the reader on an adventure to understand the solar system we call home.",Georgia,Roswell,5092024
2024 Summer Camps: Encryption and Cybersecurity,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-encryption-and-cybersecurity/?instance_id=326,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 24-28, 2024","['June 24, 2024', 'June 25, 2024', 'June 26, 2024', 'June 27, 2024', 'June 28, 2024']",6/28/2024 9:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Learn about cryptography, digital forensics, IoT (Internet of things), ciphers, and algorithms.  Learn to encrypt and decrypt messages.  Work with teams to detect and stop targeted cyber attacks. Students will work with ' Black hat' & 'White hat' concepts and switch roles to understand both perspectives to develop essential critical thinking and problem solving skills required for a career in cybersecurity.",Georgia,Roswell,5092024
