Name,Event Image,Event Website Link,Event Venue Name,Event Venue Address,Dates,Date Details,Event Date,Times,Time Summary,Neighborhood,Event Categories,Event Type,Event Description,State,City,Batch
2024 Summer Camps: Build & Code Self Driving Vehicles,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-build-code-self-driving-vehicles/?instance_id=333,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 15-19, 2024","['July 15, 2024', 'July 16, 2024', 'July 17, 2024', 'July 18, 2024', 'July 19, 2024']",7/19/2024 13:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Keeping pace with a technology driven world, we've developed a hands-on blended learning experience that's fun, rewarding, and challenging.",Georgia,Roswell,5092024
2024 Summer Camps: Game Design with Scratch 3.0,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-game-design-with-scratch-3-0/?instance_id=331,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 15-19, 2024","['July 15, 2024', 'July 16, 2024', 'July 17, 2024', 'July 18, 2024', 'July 19, 2024']",7/19/2024 13:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,Code Smart with MIT Scratch 3.0 is the perfect way to learn the basics of programming!  You'll have a great time learning how to create and play your own video games!,Georgia,Roswell,5092024
2024 Summer Camps: Mobile & Web App Design,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-mobile-web-app-design/?instance_id=334,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 15-19, 2024","['July 15, 2024', 'July 16, 2024', 'July 17, 2024', 'July 18, 2024', 'July 19, 2024']",7/19/2024 13:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,Combine scientific knowledge and creativity to take a step into your future by learning a new skillset.,Georgia,Roswell,5092024
2024 Summer Camps: Roblox Business Tycoon,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-roblox-business-tycoon/?instance_id=332,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 15-19, 2024","['July 15, 2024', 'July 16, 2024', 'July 17, 2024', 'July 18, 2024', 'July 19, 2024']",7/19/2024 13:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"Enable and access datastores, so any place in an experience, including places on different servers, you can access and change the same data.  Students will make use of the many tools on Roblox to code amazing games, broadcasting their imaginative capabilities to the world.",Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 7/20/24 - A Computer Called Katherine,https://www.computermuseumofamerica.org/wp-content/uploads/2023/03/A-computer-called-Katherine-scaled-e1678984511352-290x300.jpg,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-7-20-24-a-computer-called-katherine/?instance_id=373,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",20-Jul-24,"['July 20, 2024']",7/20/2024 11:00,['11:00AM-12:00PM'],11AM-12PM,Roswell,Family,In Person,"Are you ready to blast off into space and explore the amazing story of Katherine Johnson, one of the main characters in the iconic movie Hidden Figures? In this week's exciting read, A Computer Called Katherine: How Katherine Johnson Helped Put America on the Moon, Tech Tales will be exploring the fantastic story of Katherine Johnson defying race and gender norms to become a critical component of the team that put America into space, and on the moon. In addition, Tech Tales will be having a blast with an out-of-this-world arts and crafts rocket project. Don't miss out on this incredible journey to inspire the young minds in your life.",Georgia,Roswell,5092024
Talking Tech - Tom Dworschak - Apollo to Artemis: To the Moon and Back - Again,https://www.computermuseumofamerica.org/wp-content/uploads/2023/01/Talking-Tech-1080-x-1080-px-v3-300x300.png,https://www.computermuseumofamerica.org/event/apollo-to-artemis-to-the-moon-and-back-again/?instance_id=351,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",20-Jul-24,"['July 20, 2024']",7/20/2024 14:00,['2:00PM-3:00PM'],2PM-3PM,Roswell,Family,In Person,"To help CMoA celebrate its 5th anniversary and the reason behind our opening date, we welcome back Tom Dworschak, NASA Solar System Ambassador.",Georgia,Roswell,5092024
2024 Summer Camps: 3D Coding - Design & Code 3D Characters!,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-3d-coding-design-code-3d-characters/?instance_id=335,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 22-26, 2024","['July 22, 2024', 'July 23, 2024', 'July 24, 2024', 'July 25, 2024', 'July 26, 2024']",7/26/2024 13:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"In this class students discover 3D modeling with simple to use instructions and tools.  Campers will discover 3D modeling with simple to use instructions and tools.  Students can let their imaginations soar by learning to code while producing their own 3D models. They create variables, repeat groups of commands, and create items.",Georgia,Roswell,5092024
2024 Summer Camps: Robot Battles,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-robot-battles/?instance_id=337,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 22-26, 2024","['July 22, 2024', 'July 23, 2024', 'July 24, 2024', 'July 25, 2024', 'July 26, 2024']",7/26/2024 13:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Your camper's robot, which they build and program themselves, will engage in various battle challenges and exciting matches.  Students create Bigger, Stronger, Faster robots designed to fight in the combat arena.  Through these hands on activities, campers learn the principles of building and programming to be successful in their missions.",Georgia,Roswell,5092024
2024 Summer Camps: Mad Sciences and Circuits,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-mad-sciences-and-circuits/?instance_id=336,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 22-26, 2024","['July 22, 2024', 'July 23, 2024', 'July 24, 2024', 'July 25, 2024', 'July 26, 2024']",7/26/2024 13:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"Ideal camp for science lovers.  This exploratory camp is in high demand, exposing students to new experiments and new concepts every day of the week.",Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 7/27/24 - Pete the Cat: Out of this World,https://www.computermuseumofamerica.org/wp-content/uploads/2024/04/Pete_the_Cat-removebg-preview-300x300.png,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-7-27-24-pete-the-cat-out-of-this-world/?instance_id=374,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",27-Jul-24,"['July 27, 2024']",7/27/2024 11:00,['11:00AM-12:00PM'],11AM-12PM,Roswell,Family,In Person,Wrapping up our 2024 Tech Tales series is Pete The Cat: Out of this World by James Dean. Join us as we find out about the amazing adventure Pete has ranging from Space Camp all the way to the Moon and Back!,Georgia,Roswell,5092024
Punch Card Machine Demo,https://www.computermuseumofamerica.org/wp-content/uploads/2020/07/punchcardbox-300x300.png,https://www.computermuseumofamerica.org/event/punch-card-machine-demo-56/?instance_id=359,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",3-Aug-24,"['August 3, 2024']",8/3/2024 14:00,['2:00PM-4:00PM'],2PM-4PM,Roswell,Family,In Person,"<p>Ever wonder about the history of the punchcard?</p><p>The punchcard exhibit starts with a Jacquard Loom, one of the earliest uses of punched cards, which helped to make woven fabric more affordable. Herman Hollerith's invention of electromechanical processing of cards tabulated data for the 1890 census. The IBM family of punch card machines was used for data processing and record-keeping across many industries and academia. Punched cards were even used for matchmaking at the University of Iowa in 1963!</p><p>Come learn more about this history and punch your own souvenir card on an original IBM 029 to take home during the demo.</p><p>Saturday, 2 - 4 PM, free with museum membership or admission.</p>",Georgia,Roswell,5092024
Punch Card Machine Demo,https://www.computermuseumofamerica.org/wp-content/uploads/2020/07/punchcardbox-300x300.png,https://www.computermuseumofamerica.org/event/punch-card-machine-demo-57/?instance_id=360,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",7-Sep-24,"['September 7, 2024']",9/7/2024 14:00,['2:00PM-4:00PM'],2PM-4PM,Roswell,Family,In Person,"<p>Ever wonder about the history of the punchcard?</p><p>The punchcard exhibit starts with a Jacquard Loom, one of the earliest uses of punched cards, which helped to make woven fabric more affordable. Herman Hollerith's invention of electromechanical processing of cards tabulated data for the 1890 census. The IBM family of punch card machines was used for data processing and record-keeping across many industries and academia. Punched cards were even used for matchmaking at the University of Iowa in 1963!</p><p>Come learn more about this history and punch your own souvenir card on an original IBM 029 to take home during the demo.</p><p>Saturday, 2 - 4 PM, free with museum membership or admission.</p>",Georgia,Roswell,5092024
Punch Card Machine Demo,https://www.computermuseumofamerica.org/wp-content/uploads/2020/07/punchcardbox-300x300.png,https://www.computermuseumofamerica.org/event/punch-card-machine-demo-58/?instance_id=361,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",5-Oct-24,"['October 5, 2024']",10/5/2024 14:00,['2:00PM-4:00PM'],2PM-4PM,Roswell,Family,In Person,"<p>Ever wonder about the history of the punchcard?</p><p>The punchcard exhibit starts with a Jacquard Loom, one of the earliest uses of punched cards, which helped to make woven fabric more affordable. Herman Hollerith's invention of electromechanical processing of cards tabulated data for the 1890 census. The IBM family of punch card machines was used for data processing and record-keeping across many industries and academia. Punched cards were even used for matchmaking at the University of Iowa in 1963!</p><p>Come learn more about this history and punch your own souvenir card on an original IBM 029 to take home during the demo.</p><p>Saturday, 2 - 4 PM, free with museum membership or admission.</p>",Georgia,Roswell,5092024
Punch Card Machine Demo,https://www.computermuseumofamerica.org/wp-content/uploads/2020/07/punchcardbox-300x300.png,https://www.computermuseumofamerica.org/event/punch-card-machine-demo-59/?instance_id=362,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",5-Nov-24,"['November 5, 2024']",11/5/2024 14:00,['2:00PM-4:00PM'],2PM-4PM,Roswell,Family,In Person,"<p>Ever wonder about the history of the punchcard?</p><p>The punchcard exhibit starts with a Jacquard Loom, one of the earliest uses of punched cards, which helped to make woven fabric more affordable. Herman Hollerith's invention of electromechanical processing of cards tabulated data for the 1890 census. The IBM family of punch card machines was used for data processing and record-keeping across many industries and academia. Punched cards were even used for matchmaking at the University of Iowa in 1963!</p><p>Come learn more about this history and punch your own souvenir card on an original IBM 029 to take home during the demo.</p><p>Saturday, 2 - 4 PM, free with museum membership or admission.</p>",Georgia,Roswell,5092024
Punch Card Machine Demo,https://www.computermuseumofamerica.org/wp-content/uploads/2020/07/punchcardbox-300x300.png,https://www.computermuseumofamerica.org/event/punch-card-machine-demo-60/?instance_id=363,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",7-Dec-24,"['December 7, 2024']",12/7/2024 14:00,['2:00PM-4:00PM'],2PM-4PM,Roswell,Family,In Person,"<p>Ever wonder about the history of the punchcard?</p><p>The punchcard exhibit starts with a Jacquard Loom, one of the earliest uses of punched cards, which helped to make woven fabric more affordable. Herman Hollerith's invention of electromechanical processing of cards tabulated data for the 1890 census. The IBM family of punch card machines was used for data processing and record-keeping across many industries and academia. Punched cards were even used for matchmaking at the University of Iowa in 1963!</p><p>Come learn more about this history and punch your own souvenir card on an original IBM 029 to take home during the demo.</p><p>Saturday, 2 - 4 PM, free with museum membership or admission.</p>",Georgia,Roswell,5092024
